Program Time [s],data 0,data 1,data 2
2203.94,521.15,2050,4050
2204.94,521.6,2050,4050
2205.95,522.05,2050,4050
2206.96,522.05,2050,4050
2207.97,522.5,2050,4050
2208.98,523.4,2050,4050
2209.99,523.4,2050,4050
2210.99,523.85,2050,4050
2212.01,524.3,2050,4050
2213.01,524.75,2050,4050
2214.01,525.2,2050,4050
2215.02,525.2,2050,4050
2216.02,526.1,2050,4050
2217.03,526.55,2050,4050
2218.04,527,2050,4050
2219.04,527.45,2050,4050
2220.05,527.9,2050,4050
2221.05,527.9,2050,4050
2222.06,528.8,2050,4050
2223.07,528.8,2050,4050
2224.08,529.25,2050,4050
2225.09,530.15,2050,4050
2226.09,530.15,2050,4050
2227.1,530.6,2050,4050
2228.11,531.5,2050,4050
2229.12,531.05,2050,4050
2230.13,531.95,2050,4050
2231.14,532.4,2050,4050
2232.14,532.85,2050,4050
2233.15,533.3,2050,4050
2234.16,533.75,2050,4050
2235.16,533.75,2050,4050
2236.17,534.65,2050,4050
2237.17,534.65,2050,4050
2238.18,535.1,2050,4050
2239.18,535.55,2050,4050
2240.19,536,2050,4050
2241.19,536.45,2050,4050
2242.2,536.9,2050,4050
2243.21,537.35,2050,4050
2244.22,537.8,2050,4050
2245.22,538.25,2050,4050
2246.23,538.7,2050,4050
2247.24,539.15,2050,4050
2248.25,539.15,2050,4050
2249.25,539.6,2050,4050
2250.27,540.05,2050,4050
2251.27,540.5,2050,4050
2252.27,540.95,2050,4050
2253.28,541.4,2050,4050
2254.29,541.85,2050,4050
2255.3,542.3,2050,4050
2256.31,542.3,2050,4050
2257.31,542.75,2050,4050
2258.32,543.2,2050,4050
2259.33,544.1,2050,4050
